	"CPU_C4_ACTTGA_L005_R1_001"	"CPU_C5_GGCCAC_L001_R1_001"	"CPU_C6_ACTTGA_L007_R1_001"	"CPU_C7_GGCCAC_L003_R1_001"	"CPU_S4_GGCCAC_L002_R1_001"	"CPU_S5_ACTTGA_L006_R1_001"	"CPU_S6_GGCCAC_L004_R1_001"	"CPU_S7_ACTTGA_L008_R1_001"	"HC_C4_TAGCTT_L005_R1_001"	"HC_C5_CGTACG_L001_R1_001"	"HC_C6_TAGCTT_L007_R1_001"	"HC_C7_CGTACG_L003_R1_001"	"HC_S4_CGTACG_L002_R1_001"	"HC_S5_TAGCTT_L006_R1_001"	"HC_S6_CGTACG_L004_R1_001"	"HC_S7_TAGCTT_L008_R1_001"	"Nac_C4_GATCAG_L005_R1_001"	"Nac_C5_GTTTCG_L001_R1_001"	"Nac_C6_GATCAG_L007_R1_001"	"Nac_C7_GTTTCG_L003_R1_001"	"Nac_S4_GTTTCG_L002_R1_001"	"Nac_S5_GATCAG_L006_R1_001"	"Nac_S6_GTTTCG_L004_R1_001"	"Nac_S7_GATCAG_L008_R1_001"	"PFC_C4_TTAGGC_L005_R1_001"	"PFC_C5_GTAGCC_L001_R1_001"	"PFC_C6_TTAGGC_L007_R1_001"	"PFC_C7_GTAGCC_L003_R1_001"	"PFC_S4_GTAGCC_L002_R1_001"	"PFC_S5_TTAGGC_L006_R1_001"	"PFC_S6_GTAGCC_L004_R1_001"	"PFC_S7_TTAGGC_L008_R1_001"
"ERCC-00002"	11429	4592	16338	22560	9247	22650	18115	17586	13987	2879	6299	13225	5744	14627	16753	17085	11564	10175	14775	6742	5939	13164	12165	17119	9497	7878	12028	10039	8737	12085	8828	4191
"ERCC-00003"	1323	440	1733	2306	955	2573	1739	2132	1537	273	613	1572	552	1632	1797	1908	1286	1099	1600	764	563	1644	1265	1918	1105	840	1213	1291	944	1214	1054	408
"ERCC-00004"	5814	1780	7659	10520	3900	11447	8152	8977	6774	1090	2377	7270	1984	7200	7916	7723	5130	4635	6546	2926	2069	6912	5399	8159	4681	3522	4866	5247	3950	5632	4138	1471
"ERCC-00009"	557	246	826	1158	452	1146	864	853	726	141	294	736	265	721	846	876	595	493	752	312	290	774	640	936	471	395	545	499	454	561	508	186
"ERCC-00012"	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"ERCC-00013"	0	0	1	3	1	4	0	0	0	0	0	0	0	3	1	3	1	1	0	1	1	1	0	0	0	1	0	2	0	3	0	0
"ERCC-00014"	0	0	2	3	1	0	3	2	0	0	0	0	1	2	0	1	1	2	1	0	0	3	2	1	1	2	2	1	0	0	1	0
"ERCC-00016"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERCC-00017"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ERCC-00019"	33	15	44	46	19	44	52	34	32	17	17	25	10	33	28	44	26	25	40	17	18	33	31	40	25	14	38	23	26	26	14	6
"ERCC-00022"	176	69	239	361	129	318	272	252	210	58	118	215	89	253	280	262	178	157	226	100	107	221	154	252	133	100	198	163	133	151	131	67
"ERCC-00024"	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0
"ERCC-00025"	38	23	53	69	31	84	67	49	39	10	19	50	24	44	55	82	42	31	55	26	26	48	44	59	29	27	43	35	37	39	30	17
"ERCC-00028"	1	0	2	6	2	8	4	7	6	1	2	5	1	7	4	9	3	3	8	3	4	1	2	7	3	3	4	4	3	4	2	1
"ERCC-00031"	1	0	3	1	1	5	2	1	1	0	0	2	1	1	2	5	2	0	1	1	0	0	2	3	0	0	0	3	1	0	1	1
"ERCC-00033"	0	0	2	2	0	0	0	3	2	0	1	1	0	2	3	0	1	0	0	2	1	1	1	3	2	0	2	1	0	1	0	1
"ERCC-00034"	9	3	17	35	11	20	32	18	18	1	5	10	6	26	25	21	17	11	17	12	7	19	28	19	12	8	18	12	8	15	11	9
"ERCC-00035"	57	26	72	143	38	119	87	99	55	13	42	87	21	81	88	80	59	46	86	43	50	70	68	75	45	25	60	60	35	60	45	35
"ERCC-00039"	0	1	5	7	3	2	1	9	1	1	0	1	0	3	3	3	0	5	2	2	2	2	6	2	0	0	1	0	2	1	0	1
"ERCC-00040"	1	0	0	2	0	2	0	1	0	0	0	1	0	3	2	1	0	0	1	0	1	0	0	1	1	0	1	1	1	1	2	0
"ERCC-00041"	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ERCC-00042"	759	229	825	1153	493	1344	982	922	767	149	386	764	296	830	990	932	669	639	818	436	321	784	671	994	659	473	608	637	562	650	531	206
"ERCC-00043"	716	225	924	1274	512	1301	981	1102	808	167	318	847	276	884	978	941	674	603	799	440	281	811	694	1011	567	418	677	617	489	678	539	217
"ERCC-00044"	7	6	28	32	7	43	25	26	21	5	9	18	10	15	19	28	15	15	14	11	8	15	18	17	13	14	6	12	15	17	13	6
"ERCC-00046"	3656	1147	4709	6382	2520	6561	5001	5362	4280	764	1694	4504	1431	4407	5457	4926	3519	3039	4407	2204	1473	4324	3531	4994	2994	2313	3699	3130	2666	3487	2926	1020
"ERCC-00048"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00051"	15	7	23	21	11	27	23	32	22	1	5	17	6	20	27	25	16	22	21	4	5	22	17	26	14	14	14	19	10	16	12	5
"ERCC-00053"	24	9	31	37	11	68	35	52	36	12	9	19	13	27	31	35	28	23	21	19	17	42	17	38	24	9	22	16	18	25	21	9
"ERCC-00054"	3	2	8	6	5	5	5	10	8	3	4	8	1	7	4	6	9	3	4	4	1	0	6	6	5	9	6	6	9	3	6	2
"ERCC-00057"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00058"	2	1	2	1	0	3	3	3	1	0	1	2	0	0	0	2	3	0	1	0	1	0	2	2	2	2	1	1	3	0	2	1
"ERCC-00059"	5	6	15	17	11	23	16	20	18	1	3	14	4	14	22	16	10	8	8	6	5	16	16	12	7	11	10	9	10	8	16	4
"ERCC-00060"	441	151	548	713	302	743	534	641	454	96	202	539	174	506	562	612	462	381	574	291	165	494	397	629	387	301	436	382	322	358	357	98
"ERCC-00061"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00062"	79	18	84	113	43	122	95	110	90	14	26	68	32	78	105	99	57	47	81	54	38	86	57	109	50	51	77	60	52	69	47	26
"ERCC-00067"	2	0	1	4	0	3	4	2	0	0	1	0	1	1	1	6	0	2	1	1	1	2	1	1	1	1	4	0	0	2	0	0
"ERCC-00069"	2	0	1	2	1	1	2	4	2	0	3	1	1	2	1	2	4	4	4	1	0	3	2	2	1	3	4	0	2	0	1	0
"ERCC-00071"	50	20	51	95	44	97	69	77	54	18	52	60	44	64	69	83	47	39	61	34	40	48	49	84	38	50	56	48	40	38	46	22
"ERCC-00073"	1	0	0	2	0	3	1	1	1	0	0	1	0	3	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0
"ERCC-00074"	14502	4197	20834	25904	9932	29931	21140	24152	17329	2793	5711	18627	5052	19078	21891	18118	12978	10700	16853	6796	5247	16776	13471	21034	11953	8222	12087	13225	9030	15236	9717	3649
"ERCC-00075"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00076"	154	67	222	322	133	291	255	217	191	46	80	167	75	199	217	247	178	175	231	106	83	187	140	228	162	102	181	115	123	141	114	54
"ERCC-00077"	1	0	6	2	2	6	2	5	0	2	2	1	0	2	2	1	1	1	2	0	0	0	1	2	0	0	2	2	0	0	2	0
"ERCC-00078"	39	8	60	69	24	56	49	65	37	14	22	50	12	52	41	47	36	31	51	16	17	36	51	39	27	18	32	31	30	34	21	12
"ERCC-00079"	80	15	103	132	52	121	101	86	92	16	26	89	38	66	99	92	62	59	84	39	22	94	62	98	71	52	66	54	52	72	60	12
"ERCC-00081"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
"ERCC-00083"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERCC-00084"	28	9	26	44	17	47	34	35	32	6	13	21	9	36	39	32	30	13	28	13	11	34	28	31	9	19	25	16	23	11	25	9
"ERCC-00085"	2	2	4	7	9	6	4	13	3	2	5	11	1	7	7	11	2	0	2	4	3	4	11	3	1	4	1	5	4	9	3	4
"ERCC-00086"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00092"	231	97	290	471	176	442	360	348	274	62	155	278	133	296	332	362	268	230	309	143	133	251	249	368	195	171	254	224	197	239	205	88
"ERCC-00095"	55	27	83	97	34	127	77	96	65	15	51	60	41	59	67	73	58	62	81	47	52	62	39	73	42	37	52	46	51	54	46	19
"ERCC-00096"	12528	7656	16721	23723	9878	23586	18480	18244	14705	5123	10479	14788	9669	15321	17486	20101	14453	13872	17748	9829	10386	14825	13309	18686	10908	9914	14826	11079	10674	12982	11899	7501
"ERCC-00097"	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0
"ERCC-00098"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ERCC-00099"	27	11	32	41	20	35	28	29	25	7	11	25	10	24	24	37	20	26	31	16	12	27	25	34	26	19	18	14	20	20	19	6
"ERCC-00104"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00108"	1169	405	1523	2090	873	2132	1655	1604	1431	253	583	1292	481	1385	1534	1640	1154	1064	1454	704	540	1339	1189	1632	988	805	1164	999	835	1053	934	377
"ERCC-00109"	0	0	0	1	0	2	0	0	0	2	0	0	1	0	1	0	1	0	1	0	1	0	0	3	0	0	4	0	0	0	0	0
"ERCC-00111"	435	229	575	866	297	785	670	611	509	145	336	471	260	518	558	644	429	410	483	305	323	521	443	559	341	313	425	362	307	420	400	205
"ERCC-00112"	64	50	81	114	52	99	69	97	80	27	52	61	38	52	85	117	84	67	71	42	54	78	56	88	44	48	72	57	55	51	56	46
"ERCC-00113"	3738	1518	5005	6812	2549	7036	5455	5643	4327	919	2094	4394	1812	4542	5167	5018	3484	3036	4498	2033	1998	4092	3631	5372	3057	2294	3310	3095	2620	3785	2748	1332
"ERCC-00116"	34	25	66	99	17	105	66	68	62	10	21	48	23	76	66	64	29	34	49	26	22	42	47	62	30	27	40	36	34	57	37	14
"ERCC-00117"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00120"	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	3	0	0	0	0	0	0	0	0
"ERCC-00123"	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ERCC-00126"	3	1	7	3	3	3	4	2	2	1	2	3	2	4	4	6	3	2	6	3	2	8	2	5	2	2	3	0	3	3	2	0
"ERCC-00130"	16802	8577	26376	36247	13242	37805	29734	30602	21996	5778	12302	22425	11329	23693	24869	25569	17871	16195	22432	11288	11646	20691	18814	26648	13923	12092	17939	15619	13334	19052	14503	8351
"ERCC-00131"	120	50	157	222	87	220	184	167	143	32	54	150	47	142	187	175	126	95	152	57	52	124	118	176	102	71	110	108	93	122	82	34
"ERCC-00134"	2	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
"ERCC-00136"	657	424	880	1255	500	1319	961	1079	811	297	568	742	522	837	968	947	717	719	811	472	562	745	676	960	561	497	747	592	568	658	599	359
"ERCC-00137"	0	0	0	1	0	2	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	5	0	0	1	0	1	0	0	0
"ERCC-00138"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ERCC-00142"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ERCC-00143"	5	0	6	9	1	8	5	2	5	0	1	4	0	8	4	6	1	1	4	0	1	7	4	7	5	2	4	1	0	5	4	0
"ERCC-00144"	12	8	22	26	7	33	20	24	19	1	6	14	7	18	24	14	13	12	12	10	5	11	12	20	12	9	12	6	6	12	10	2
"ERCC-00145"	659	233	845	1267	484	1224	926	934	758	169	342	779	309	808	931	1082	750	586	903	451	318	808	651	1036	582	433	686	576	537	629	633	233
"ERCC-00147"	0	1	1	2	0	1	0	2	0	1	0	0	0	0	0	1	0	2	0	1	0	1	2	1	1	1	4	0	1	0	0	0
"ERCC-00148"	5	1	7	12	6	7	6	9	8	2	1	9	3	6	12	4	8	4	6	1	3	12	7	10	3	5	9	4	4	4	2	5
"ERCC-00150"	6	1	0	3	1	4	4	3	3	0	0	1	1	6	2	3	2	2	4	0	0	0	2	5	0	0	1	4	0	0	0	1
"ERCC-00154"	9	4	5	10	6	8	6	11	7	2	2	7	0	7	10	4	11	5	8	5	1	1	1	8	5	2	8	5	7	9	4	3
"ERCC-00156"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"ERCC-00157"	2	2	9	14	3	14	16	10	11	5	1	8	6	5	18	8	10	8	11	2	4	13	9	6	9	7	4	9	9	2	5	1
